metric,as_of_data_date,national_at_data_date,sum_per_zone,unallocated_residual,method_basis,source_id,note
confirmed,2026-06-17,896,879,17,reviewed_INSP_SitRep_034_Table_1_per_health_zone_v1,inrb-sitrep-034-2026-06-17,
confirmed_deaths,2026-06-17,232,232,0,reviewed_INSP_SitRep_034_Table_1_per_health_zone_v1,inrb-sitrep-034-2026-06-17,Confirmed deaths trail the national rollup by 1-3 weeks while the INRB clinical review queue catches up; spec section 2.3.
