row_id,clock_type,date_value,timestamp_value,source_id,source_role,source_tier,status,note
source_retrieval_date:who-ihr-ec-bdbv-temporary-recommendations-2026-05-22,source_retrieval_date,2026-05-22,2026-05-22T16:11:52Z,who-ihr-ec-bdbv-temporary-recommendations-2026-05-22,context_only,official_who,recorded,Archive capture timestamp for this source edition.
source_data_report_date:cdc-current-situation-2026-05-22,source_data_report_date,2026-05-22,,cdc-current-situation-2026-05-22,"official CDC cross-check; does not supersede the WHO 22 May headline endpoint of 84 confirmed, approximately 750 suspected, and 177 suspected deaths",official_cdc,recorded,Data/report date the source says the observation describes.
source_publication_date:cdc-current-situation-2026-05-22,source_publication_date,2026-05-22,,cdc-current-situation-2026-05-22,"official CDC cross-check; does not supersede the WHO 22 May headline endpoint of 84 confirmed, approximately 750 suspected, and 177 suspected deaths",official_cdc,recorded,Date the source made the observation available.
source_retrieval_date:cdc-current-situation-2026-05-22,source_retrieval_date,2026-05-23,2026-05-23T04:09:36Z,cdc-current-situation-2026-05-22,"official CDC cross-check; does not supersede the WHO 22 May headline endpoint of 84 confirmed, approximately 750 suspected, and 177 suspected deaths",official_cdc,recorded,Archive capture timestamp for this source edition.
source_data_report_date:cdc-returning-travelers-info-2026-05-22-live,source_data_report_date,2026-05-22,,cdc-returning-travelers-info-2026-05-22-live,context_only,official_cdc,recorded,Data/report date the source says the observation describes.
source_publication_date:cdc-returning-travelers-info-2026-05-22-live,source_publication_date,2026-05-22,,cdc-returning-travelers-info-2026-05-22-live,context_only,official_cdc,recorded,Date the source made the observation available.
source_retrieval_date:cdc-returning-travelers-info-2026-05-22-live,source_retrieval_date,2026-05-23,2026-05-23T04:09:36Z,cdc-returning-travelers-info-2026-05-22-live,context_only,official_cdc,recorded,Archive capture timestamp for this source edition.
source_data_report_date:cdc-traveler-management-guidance-2026-05-22-live,source_data_report_date,2026-05-22,,cdc-traveler-management-guidance-2026-05-22-live,context_only,official_cdc,recorded,Data/report date the source says the observation describes.
source_publication_date:cdc-traveler-management-guidance-2026-05-22-live,source_publication_date,2026-05-22,,cdc-traveler-management-guidance-2026-05-22-live,context_only,official_cdc,recorded,Date the source made the observation available.
source_retrieval_date:cdc-traveler-management-guidance-2026-05-22-live,source_retrieval_date,2026-05-23,2026-05-23T04:09:36Z,cdc-traveler-management-guidance-2026-05-22-live,context_only,official_cdc,recorded,Archive capture timestamp for this source edition.
