row_id,date,metric,value,unit,source_id,evidence_ref,source_url,archive_sha256,license,note
timeline:afro-sitrep-01-pdf-2026-05-18-live:affected_health_zones.nyankunde.confirmed,2026-05-18,confirmed_cases,4,count,afro-sitrep-01-pdf-2026-05-18-live,source_manifest:afro-sitrep-01-pdf-2026-05-18-live,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation,b43fc698bf2407323c6d6af25a3679eccdd2d68b3effc61a7563e6ef977366ba,CC-BY-NC-SA-3.0-IGO,
timeline:afro-sitrep-01-pdf-2026-05-18-live:affected_health_zones.rwampara.confirmed,2026-05-18,confirmed_cases,19,count,afro-sitrep-01-pdf-2026-05-18-live,source_manifest:afro-sitrep-01-pdf-2026-05-18-live,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation,b43fc698bf2407323c6d6af25a3679eccdd2d68b3effc61a7563e6ef977366ba,CC-BY-NC-SA-3.0-IGO,
timeline:afro-sitrep-01-pdf-2026-05-18-live:cases_confirmed,2026-05-18,confirmed_cases,33,count,afro-sitrep-01-pdf-2026-05-18-live,source_manifest:afro-sitrep-01-pdf-2026-05-18-live,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation,b43fc698bf2407323c6d6af25a3679eccdd2d68b3effc61a7563e6ef977366ba,CC-BY-NC-SA-3.0-IGO,
timeline:afro-sitrep-01-pdf-2026-05-18-live:cases_confirmed_uganda,2026-05-18,confirmed_cases,2,count,afro-sitrep-01-pdf-2026-05-18-live,source_manifest:afro-sitrep-01-pdf-2026-05-18-live,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation,b43fc698bf2407323c6d6af25a3679eccdd2d68b3effc61a7563e6ef977366ba,CC-BY-NC-SA-3.0-IGO,
timeline:afro-sitrep-01-pdf-2026-05-18-live:grand_total_confirmed,2026-05-18,confirmed_cases,35,count,afro-sitrep-01-pdf-2026-05-18-live,source_manifest:afro-sitrep-01-pdf-2026-05-18-live,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation,b43fc698bf2407323c6d6af25a3679eccdd2d68b3effc61a7563e6ef977366ba,CC-BY-NC-SA-3.0-IGO,
timeline:afro-sitrep-01-pdf-2026-05-18-live:contacts.drc,2026-05-18,contacts_drc,541,count,afro-sitrep-01-pdf-2026-05-18-live,source_manifest:afro-sitrep-01-pdf-2026-05-18-live,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation,b43fc698bf2407323c6d6af25a3679eccdd2d68b3effc61a7563e6ef977366ba,CC-BY-NC-SA-3.0-IGO,
timeline:afro-sitrep-01-pdf-2026-05-18-live:contacts.total,2026-05-18,contacts_total,668,count,afro-sitrep-01-pdf-2026-05-18-live,source_manifest:afro-sitrep-01-pdf-2026-05-18-live,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation,b43fc698bf2407323c6d6af25a3679eccdd2d68b3effc61a7563e6ef977366ba,CC-BY-NC-SA-3.0-IGO,
timeline:afro-sitrep-01-pdf-2026-05-18-live:contacts.uganda,2026-05-18,contacts_uganda,127,count,afro-sitrep-01-pdf-2026-05-18-live,source_manifest:afro-sitrep-01-pdf-2026-05-18-live,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation,b43fc698bf2407323c6d6af25a3679eccdd2d68b3effc61a7563e6ef977366ba,CC-BY-NC-SA-3.0-IGO,
timeline:africa-cdc-phecs-2026-05-18-live:deaths_approx,2026-05-18,deaths,106,count,africa-cdc-phecs-2026-05-18-live,source_manifest:africa-cdc-phecs-2026-05-18-live,https://africacdc.org/news-item/africa-cdc-declares-the-ongoing-bundibugyo-ebola-outbreak-a-public-health-emergency-of-continental-security/,4efa5e02df04e766353f9af62e6f87a1fca21936aa287772bae5ba5932e20c8b,publisher-terms-not-confirmed,
timeline:africa-cdc-phecs-2026-05-18-live:deaths_uga,2026-05-18,deaths,1,count,africa-cdc-phecs-2026-05-18-live,source_manifest:africa-cdc-phecs-2026-05-18-live,https://africacdc.org/news-item/africa-cdc-declares-the-ongoing-bundibugyo-ebola-outbreak-a-public-health-emergency-of-continental-security/,4efa5e02df04e766353f9af62e6f87a1fca21936aa287772bae5ba5932e20c8b,publisher-terms-not-confirmed,
timeline:afro-sitrep-01-pdf-2026-05-18-live:affected_health_zones.bunia.deaths,2026-05-18,deaths,18,count,afro-sitrep-01-pdf-2026-05-18-live,source_manifest:afro-sitrep-01-pdf-2026-05-18-live,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation,b43fc698bf2407323c6d6af25a3679eccdd2d68b3effc61a7563e6ef977366ba,CC-BY-NC-SA-3.0-IGO,
timeline:afro-sitrep-01-pdf-2026-05-18-live:affected_health_zones.butembo.deaths,2026-05-18,deaths,0,count,afro-sitrep-01-pdf-2026-05-18-live,source_manifest:afro-sitrep-01-pdf-2026-05-18-live,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation,b43fc698bf2407323c6d6af25a3679eccdd2d68b3effc61a7563e6ef977366ba,CC-BY-NC-SA-3.0-IGO,
timeline:afro-sitrep-01-pdf-2026-05-18-live:affected_health_zones.goma.deaths,2026-05-18,deaths,0,count,afro-sitrep-01-pdf-2026-05-18-live,source_manifest:afro-sitrep-01-pdf-2026-05-18-live,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation,b43fc698bf2407323c6d6af25a3679eccdd2d68b3effc61a7563e6ef977366ba,CC-BY-NC-SA-3.0-IGO,
timeline:afro-sitrep-01-pdf-2026-05-18-live:affected_health_zones.katwa.deaths,2026-05-18,deaths,0,count,afro-sitrep-01-pdf-2026-05-18-live,source_manifest:afro-sitrep-01-pdf-2026-05-18-live,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation,b43fc698bf2407323c6d6af25a3679eccdd2d68b3effc61a7563e6ef977366ba,CC-BY-NC-SA-3.0-IGO,
timeline:afro-sitrep-01-pdf-2026-05-18-live:affected_health_zones.mongbwalu.deaths,2026-05-18,deaths,74,count,afro-sitrep-01-pdf-2026-05-18-live,source_manifest:afro-sitrep-01-pdf-2026-05-18-live,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation,b43fc698bf2407323c6d6af25a3679eccdd2d68b3effc61a7563e6ef977366ba,CC-BY-NC-SA-3.0-IGO,
timeline:afro-sitrep-01-pdf-2026-05-18-live:affected_health_zones.nyankunde.deaths,2026-05-18,deaths,1,count,afro-sitrep-01-pdf-2026-05-18-live,source_manifest:afro-sitrep-01-pdf-2026-05-18-live,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation,b43fc698bf2407323c6d6af25a3679eccdd2d68b3effc61a7563e6ef977366ba,CC-BY-NC-SA-3.0-IGO,
timeline:afro-sitrep-01-pdf-2026-05-18-live:affected_health_zones.rwampara.deaths,2026-05-18,deaths,38,count,afro-sitrep-01-pdf-2026-05-18-live,source_manifest:afro-sitrep-01-pdf-2026-05-18-live,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation,b43fc698bf2407323c6d6af25a3679eccdd2d68b3effc61a7563e6ef977366ba,CC-BY-NC-SA-3.0-IGO,
timeline:afro-sitrep-01-pdf-2026-05-18-live:deaths_confirmed,2026-05-18,deaths,4,count,afro-sitrep-01-pdf-2026-05-18-live,source_manifest:afro-sitrep-01-pdf-2026-05-18-live,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation,b43fc698bf2407323c6d6af25a3679eccdd2d68b3effc61a7563e6ef977366ba,CC-BY-NC-SA-3.0-IGO,
timeline:afro-sitrep-01-pdf-2026-05-18-live:deaths_confirmed_uganda,2026-05-18,deaths,1,count,afro-sitrep-01-pdf-2026-05-18-live,source_manifest:afro-sitrep-01-pdf-2026-05-18-live,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation,b43fc698bf2407323c6d6af25a3679eccdd2d68b3effc61a7563e6ef977366ba,CC-BY-NC-SA-3.0-IGO,
timeline:afro-sitrep-01-pdf-2026-05-18-live:deaths_suspected,2026-05-18,deaths,131,count,afro-sitrep-01-pdf-2026-05-18-live,source_manifest:afro-sitrep-01-pdf-2026-05-18-live,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation,b43fc698bf2407323c6d6af25a3679eccdd2d68b3effc61a7563e6ef977366ba,CC-BY-NC-SA-3.0-IGO,
timeline:imperial-mrc-gida-bdbv-2026-05-18-pdf-live:deaths_used,2026-05-18,deaths,88,count,imperial-mrc-gida-bdbv-2026-05-18-pdf-live,source_manifest:imperial-mrc-gida-bdbv-2026-05-18-pdf-live,https://www.imperial.ac.uk/mrc-global-infectious-disease-analysis/research-themes/preparedness-and-response-to-emerging-threats/report-ebola-18-05-2026/,750edd9df5e4ec714d9c6557f4e1f1fc06f5cedddfbc10eddcae6a762bd068ea,CC-BY-NC-ND-4.0,
timeline:imperial-mrc-gida-bdbv-2026-05-18:officially_reported_at_that_date,2026-05-18,officially_reported_at_that_date,336,count,imperial-mrc-gida-bdbv-2026-05-18,source_manifest:imperial-mrc-gida-bdbv-2026-05-18,https://www.imperial.ac.uk/mrc-global-infectious-disease-analysis/research-themes/preparedness-and-response-to-emerging-threats/report-ebola-18-05-2026/,647610bf3450407ec3313e2a17642b0ee9cbec7f14c72665318993f06acaf8b4,CC-BY-NC-ND-4.0,
timeline:africa-cdc-phecs-2026-05-18-live:cases_suspected_drc_approx,2026-05-18,suspected_cases,395,count,africa-cdc-phecs-2026-05-18-live,source_manifest:africa-cdc-phecs-2026-05-18-live,https://africacdc.org/news-item/africa-cdc-declares-the-ongoing-bundibugyo-ebola-outbreak-a-public-health-emergency-of-continental-security/,4efa5e02df04e766353f9af62e6f87a1fca21936aa287772bae5ba5932e20c8b,publisher-terms-not-confirmed,
timeline:afro-sitrep-01-pdf-2026-05-18-live:affected_health_zones.bunia.suspected,2026-05-18,suspected_cases,61,count,afro-sitrep-01-pdf-2026-05-18-live,source_manifest:afro-sitrep-01-pdf-2026-05-18-live,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation,b43fc698bf2407323c6d6af25a3679eccdd2d68b3effc61a7563e6ef977366ba,CC-BY-NC-SA-3.0-IGO,
