lovs_zone_id,inrb_canonical_nom,as_of_data_date,confirmed,confirmed_deaths,present_in_insp_classification,inrb_collapsed_from,source_id,method_basis
mabalako,Mabalako,2026-09-20,24,11,present_with_data,"[""Mabalako""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
mahagi-cod,Mahagi,2026-09-20,4,1,present_with_data,"[""Mahagi""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
makiso-kisangani-cod,Makiso-Kisangani,2026-09-20,20,9,present_with_data,"[""Makiso-Kisangani""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
mambasa,Mambasa,2026-09-20,21,9,present_with_data,"[""Mambasa""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
mandima,Mandima,2026-09-20,59,33,present_with_data,"[""Mandima""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
mangala,Mangala,2026-09-20,337,146,present_with_data,"[""Mangala""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
mangobo,Mangobo,2026-09-20,4,2,present_with_data,"[""Mangobo""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
manguredjipa,Manguredjipa,2026-09-20,11,4,present_with_data,"[""Manguredjipa""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
masereka,Masereka,2026-09-20,25,9,present_with_data,"[""Masereka""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
miti-murhesa,Miti-Murhesa,2026-09-20,3,1,present_with_data,"[""Miti-Murhesa""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
mongbwalu,Mongbalu,2026-09-20,689,321,present_with_data,"[""Mongbwalu""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
musienene,Musienene,2026-09-20,121,65,present_with_data,"[""Musienene""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
mutwanga,Mutwanga,2026-09-20,9,2,present_with_data,"[""Mutwanga""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
nia-nia,Nia-Nia,2026-09-20,269,145,present_with_data,"[""Nia-Nia""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
