row_id,row_type,metric,location,as_of_date,value,value_min,value_max,unit,source_id,conflicting_source_ids,evidence_ref,evidence_status,derivation_type,source_url,archive_sha256,raw_archive_status,license,correction_note
source:imperial-mrc-gida-bdbv-2026-05-18:officially_reported_at_that_date,source_extracted_metric,officially_reported_at_that_date,COD; UGA,2026-05-18T00:00:00Z,336,,,count,imperial-mrc-gida-bdbv-2026-05-18,,source_manifest:imperial-mrc-gida-bdbv-2026-05-18,source_manifest_attested,source_extracted_metric,https://www.imperial.ac.uk/mrc-global-infectious-disease-analysis/research-themes/preparedness-and-response-to-emerging-threats/report-ebola-18-05-2026/,647610bf3450407ec3313e2a17642b0ee9cbec7f14c72665318993f06acaf8b4,private_restricted_bytes,CC-BY-NC-ND-4.0,
source:who-pheic-2026-05-17-live:cases_confirmed,source_extracted_metric,confirmed_cases,COD; UGA,2026-05-17T00:00:00Z,10,,,count,who-pheic-2026-05-17-live,,source_manifest:who-pheic-2026-05-17-live,source_manifest_attested,source_extracted_metric,https://www.who.int/news/item/17-05-2026-epidemic-of-ebola-disease-in-the-democratic-republic-of-the-congo-and-uganda-determined-a-public-health-emergency-of-international-concern,e1f8ea89d80de061e8f79bb8e60d96bd98d68ddf676bad9ef03469adf536dd51,public_bytes,CC-BY-NC-SA-3.0-IGO,WHO PHEIC reports 8 Ituri + 2 Kampala; Kinshasa case tested negative and is not counted.
source:who-pheic-2026-05-17-live:cases_suspected,source_extracted_metric,suspected_cases,COD; UGA,2026-05-17T00:00:00Z,246,,,count,who-pheic-2026-05-17-live,,source_manifest:who-pheic-2026-05-17-live,source_manifest_attested,source_extracted_metric,https://www.who.int/news/item/17-05-2026-epidemic-of-ebola-disease-in-the-democratic-republic-of-the-congo-and-uganda-determined-a-public-health-emergency-of-international-concern,e1f8ea89d80de061e8f79bb8e60d96bd98d68ddf676bad9ef03469adf536dd51,public_bytes,CC-BY-NC-SA-3.0-IGO,
source:who-pheic-2026-05-17-live:deaths,source_extracted_metric,deaths,COD; UGA,2026-05-17T00:00:00Z,80,,,count,who-pheic-2026-05-17-live,,source_manifest:who-pheic-2026-05-17-live,source_manifest_attested,source_extracted_metric,https://www.who.int/news/item/17-05-2026-epidemic-of-ebola-disease-in-the-democratic-republic-of-the-congo-and-uganda-determined-a-public-health-emergency-of-international-concern,e1f8ea89d80de061e8f79bb8e60d96bd98d68ddf676bad9ef03469adf536dd51,public_bytes,CC-BY-NC-SA-3.0-IGO,
source:who-dg-remarks-bdbv-2026-05-20:cases_confirmed,source_extracted_metric,confirmed_cases,COD; UGA,2026-05-20T00:00:00Z,53,,,count,who-dg-remarks-bdbv-2026-05-20,,source_manifest:who-dg-remarks-bdbv-2026-05-20,source_manifest_attested,source_extracted_metric,https://www.who.int/news-room/speeches/item/who-director-general-s-opening-remarks-at-the-media-briefing-on-ebola-outbreak-in-drc-and-uganda-20-may-2026,38adc40602c6609e4a727251acd8896ca6c27ca922d855d532b35a2bcf3ff067,public_bytes,CC-BY-NC-SA-3.0-IGO,
source:who-dg-remarks-bdbv-2026-05-20:cases_confirmed_drc,source_extracted_metric,confirmed_cases,COD; UGA,2026-05-20T00:00:00Z,51,,,count,who-dg-remarks-bdbv-2026-05-20,,source_manifest:who-dg-remarks-bdbv-2026-05-20,source_manifest_attested,source_extracted_metric,https://www.who.int/news-room/speeches/item/who-director-general-s-opening-remarks-at-the-media-briefing-on-ebola-outbreak-in-drc-and-uganda-20-may-2026,38adc40602c6609e4a727251acd8896ca6c27ca922d855d532b35a2bcf3ff067,public_bytes,CC-BY-NC-SA-3.0-IGO,
source:who-dg-remarks-bdbv-2026-05-20:cases_confirmed_uganda,source_extracted_metric,confirmed_cases,COD; UGA,2026-05-20T00:00:00Z,2,,,count,who-dg-remarks-bdbv-2026-05-20,,source_manifest:who-dg-remarks-bdbv-2026-05-20,source_manifest_attested,source_extracted_metric,https://www.who.int/news-room/speeches/item/who-director-general-s-opening-remarks-at-the-media-briefing-on-ebola-outbreak-in-drc-and-uganda-20-may-2026,38adc40602c6609e4a727251acd8896ca6c27ca922d855d532b35a2bcf3ff067,public_bytes,CC-BY-NC-SA-3.0-IGO,
source:who-dg-remarks-bdbv-2026-05-20:cases_suspected_approx,source_extracted_metric,suspected_cases,COD; UGA,2026-05-20T00:00:00Z,600,,,count,who-dg-remarks-bdbv-2026-05-20,,source_manifest:who-dg-remarks-bdbv-2026-05-20,source_manifest_attested,source_extracted_metric,https://www.who.int/news-room/speeches/item/who-director-general-s-opening-remarks-at-the-media-briefing-on-ebola-outbreak-in-drc-and-uganda-20-may-2026,38adc40602c6609e4a727251acd8896ca6c27ca922d855d532b35a2bcf3ff067,public_bytes,CC-BY-NC-SA-3.0-IGO,
source:who-dg-remarks-bdbv-2026-05-20:deaths_suspected,source_extracted_metric,suspected_cases,COD; UGA,2026-05-20T00:00:00Z,139,,,count,who-dg-remarks-bdbv-2026-05-20,,source_manifest:who-dg-remarks-bdbv-2026-05-20,source_manifest_attested,source_extracted_metric,https://www.who.int/news-room/speeches/item/who-director-general-s-opening-remarks-at-the-media-briefing-on-ebola-outbreak-in-drc-and-uganda-20-may-2026,38adc40602c6609e4a727251acd8896ca6c27ca922d855d532b35a2bcf3ff067,public_bytes,CC-BY-NC-SA-3.0-IGO,
source:ecdc-bdbv-drc-uga-2026-05-19-live:cases_confirmed,source_extracted_metric,confirmed_cases,COD; UGA,2026-05-19T00:00:00Z,30,,,count,ecdc-bdbv-drc-uga-2026-05-19-live,,source_manifest:ecdc-bdbv-drc-uga-2026-05-19-live,source_manifest_attested,source_extracted_metric,https://www.ecdc.europa.eu/en/ebola-virus-disease-outbreak-democratic-republic-congo-and-uganda-19-may-2026,3fd9968b77caa5b86de241c556c0d425bbd9f4ba5a83b59dbab0fce8304382d8,public_bytes,CC-BY-4.0,
source:ecdc-bdbv-drc-uga-2026-05-19-live:cases_suspected_min,source_extracted_metric,suspected_cases,COD; UGA,2026-05-19T00:00:00Z,500,,,count,ecdc-bdbv-drc-uga-2026-05-19-live,,source_manifest:ecdc-bdbv-drc-uga-2026-05-19-live,source_manifest_attested,source_extracted_metric,https://www.ecdc.europa.eu/en/ebola-virus-disease-outbreak-democratic-republic-congo-and-uganda-19-may-2026,3fd9968b77caa5b86de241c556c0d425bbd9f4ba5a83b59dbab0fce8304382d8,public_bytes,CC-BY-4.0,
source:ecdc-bdbv-drc-uga-2026-05-19-live:deaths,source_extracted_metric,deaths,COD; UGA,2026-05-19T00:00:00Z,130,,,count,ecdc-bdbv-drc-uga-2026-05-19-live,,source_manifest:ecdc-bdbv-drc-uga-2026-05-19-live,source_manifest_attested,source_extracted_metric,https://www.ecdc.europa.eu/en/ebola-virus-disease-outbreak-democratic-republic-congo-and-uganda-19-may-2026,3fd9968b77caa5b86de241c556c0d425bbd9f4ba5a83b59dbab0fce8304382d8,public_bytes,CC-BY-4.0,
source:cdc-current-situation-2026-05-20:affected_health_zones_count,source_extracted_metric,affected_health_zones_count,COD; UGA,2026-05-19,11,,,count,cdc-current-situation-2026-05-20,,source_manifest:cdc-current-situation-2026-05-20,source_manifest_attested,source_extracted_metric,https://www.cdc.gov/ebola/situation-summary/index.html,057d185124c8812d733b24ecae4b7980b3b3e5a73f2687e3e5d9acf883fed3bf,public_bytes,public-domain-us-gov,
source:cdc-current-situation-2026-05-20:cases_confirmed,source_extracted_metric,confirmed_cases,COD; UGA,2026-05-19,34,,,count,cdc-current-situation-2026-05-20,,source_manifest:cdc-current-situation-2026-05-20,source_manifest_attested,source_extracted_metric,https://www.cdc.gov/ebola/situation-summary/index.html,057d185124c8812d733b24ecae4b7980b3b3e5a73f2687e3e5d9acf883fed3bf,public_bytes,public-domain-us-gov,
source:cdc-current-situation-2026-05-20:cases_confirmed_uganda,source_extracted_metric,confirmed_cases,COD; UGA,2026-05-19,2,,,count,cdc-current-situation-2026-05-20,,source_manifest:cdc-current-situation-2026-05-20,source_manifest_attested,source_extracted_metric,https://www.cdc.gov/ebola/situation-summary/index.html,057d185124c8812d733b24ecae4b7980b3b3e5a73f2687e3e5d9acf883fed3bf,public_bytes,public-domain-us-gov,
source:cdc-current-situation-2026-05-20:cases_confirmed_united_states,source_extracted_metric,confirmed_cases,COD; UGA,2026-05-19,0,,,count,cdc-current-situation-2026-05-20,,source_manifest:cdc-current-situation-2026-05-20,source_manifest_attested,source_extracted_metric,https://www.cdc.gov/ebola/situation-summary/index.html,057d185124c8812d733b24ecae4b7980b3b3e5a73f2687e3e5d9acf883fed3bf,public_bytes,public-domain-us-gov,
source:cdc-current-situation-2026-05-20:cases_probable,source_extracted_metric,cases_probable,COD; UGA,2026-05-19,105,,,count,cdc-current-situation-2026-05-20,,source_manifest:cdc-current-situation-2026-05-20,source_manifest_attested,source_extracted_metric,https://www.cdc.gov/ebola/situation-summary/index.html,057d185124c8812d733b24ecae4b7980b3b3e5a73f2687e3e5d9acf883fed3bf,public_bytes,public-domain-us-gov,
source:cdc-current-situation-2026-05-20:cases_suspected,source_extracted_metric,suspected_cases,COD; UGA,2026-05-19,536,,,count,cdc-current-situation-2026-05-20,,source_manifest:cdc-current-situation-2026-05-20,source_manifest_attested,source_extracted_metric,https://www.cdc.gov/ebola/situation-summary/index.html,057d185124c8812d733b24ecae4b7980b3b3e5a73f2687e3e5d9acf883fed3bf,public_bytes,public-domain-us-gov,
source:cdc-current-situation-2026-05-20:deaths_suspected,source_extracted_metric,suspected_cases,COD; UGA,2026-05-19,134,,,count,cdc-current-situation-2026-05-20,,source_manifest:cdc-current-situation-2026-05-20,source_manifest_attested,source_extracted_metric,https://www.cdc.gov/ebola/situation-summary/index.html,057d185124c8812d733b24ecae4b7980b3b3e5a73f2687e3e5d9acf883fed3bf,public_bytes,public-domain-us-gov,
source:cdc-current-situation-2026-05-20:deaths_uganda,source_extracted_metric,deaths,COD; UGA,2026-05-19,1,,,count,cdc-current-situation-2026-05-20,,source_manifest:cdc-current-situation-2026-05-20,source_manifest_attested,source_extracted_metric,https://www.cdc.gov/ebola/situation-summary/index.html,057d185124c8812d733b24ecae4b7980b3b3e5a73f2687e3e5d9acf883fed3bf,public_bytes,public-domain-us-gov,
source:cdc-current-situation-2026-05-20:new_confirmed_cases_24_to_48h,source_extracted_metric,confirmed_cases,COD; UGA,2026-05-19,26,,,count,cdc-current-situation-2026-05-20,,source_manifest:cdc-current-situation-2026-05-20,source_manifest_attested,source_extracted_metric,https://www.cdc.gov/ebola/situation-summary/index.html,057d185124c8812d733b24ecae4b7980b3b3e5a73f2687e3e5d9acf883fed3bf,public_bytes,public-domain-us-gov,
source:cdc-current-situation-2026-05-20:new_suspected_cases_24_to_48h,source_extracted_metric,suspected_cases,COD; UGA,2026-05-19,143,,,count,cdc-current-situation-2026-05-20,,source_manifest:cdc-current-situation-2026-05-20,source_manifest_attested,source_extracted_metric,https://www.cdc.gov/ebola/situation-summary/index.html,057d185124c8812d733b24ecae4b7980b3b3e5a73f2687e3e5d9acf883fed3bf,public_bytes,public-domain-us-gov,
source:afro-sitrep-01-pdf-2026-05-18-live:affected_health_zones.bunia.confirmed,source_extracted_metric,confirmed_cases,COD; UGA,2026-05-18,6,,,count,afro-sitrep-01-pdf-2026-05-18-live,,source_manifest:afro-sitrep-01-pdf-2026-05-18-live,source_manifest_attested,source_extracted_metric,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation,b43fc698bf2407323c6d6af25a3679eccdd2d68b3effc61a7563e6ef977366ba,private_restricted_bytes,CC-BY-NC-SA-3.0-IGO,
