source_id,publisher,source_tier,published_at,retrieved_at,country_scope,license,raw_archive_status,content_hash,url
cdc-traveler-management-guidance-2026-05-22-live,US Centers for Disease Control and Prevention,official_cdc,2026-05-22T00:00:00Z,2026-05-23T04:09:36Z,COD|UGA|SSD,public-domain-us-gov,public_bytes,e2a43466b54f77ea7c825a2f68f862b7d00650890fde5c15e38faada5376f4df,https://www.cdc.gov/viral-hemorrhagic-fevers/php/php/public-health-strategy/ebola-outbreak-interim-guidance.html
drc-moh-epidemie-dashboard-sitrep-mve-n-007-mvb-17-2026-pdf-2026-05-22,"Ministere de la Sante Publique, Hygiene et Prevoyance sociale, Democratic Republic of the Congo",national_moh,2026-05-22T00:00:00Z,2026-05-23T18:36:26Z,COD,publisher-terms-not-confirmed,private_restricted_bytes,0fff304fd19ebc41e80328ff2f319ba903ea9b378f8926857ffc3fad0c537317,https://administration.sante.gouv.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_20260512-FDv2_IM.pdf
ecdc-bdbv-drc-uga-2026-05-22-live,European Centre for Disease Prevention and Control,regional_body,2026-05-22T00:00:00Z,2026-05-23T04:09:36Z,COD|UGA,CC-BY-4.0,public_bytes,c2193bdb59db2f64df649f87d859b61fb3d1e65cf3c00a9ddd1e3da30a254bfa,https://www.ecdc.europa.eu/en/ebola-virus-disease-outbreak-democratic-republic-congo-and-uganda-19-may-2026
who-dg-remarks-bdbv-2026-05-22,World Health Organization,official_who,2026-05-22T00:00:00Z,2026-05-22T16:11:52Z,COD|UGA,CC-BY-NC-SA-3.0-IGO,public_bytes,40367f2982e766cd8d12f4f223e420d6c4739f4ed1345c8584541619ec061495,https://www.who.int/news-room/speeches/item/who-director-general-s-opening-remarks-at-the-member-state-information-session-on-outbreaks-of-ebola-and-hantavirus-22-may-2026
who-ihr-ec-bdbv-temporary-recommendations-2026-05-22,World Health Organization,official_who,2026-05-22T00:00:00Z,2026-05-22T16:11:52Z,COD|UGA,CC-BY-NC-SA-3.0-IGO,public_bytes,0e9c3f1bd14aca694c115df854ec2bd290f24240b29c84fc5617e7374d3ba4e4,https://www.who.int/news/item/22-05-2026-first-meeting-of-the-ihr-emergency-committee-regarding-the-epidemic-of-ebola-bundibugyo-virus-disease-in-the-democratic-republic-of-the-congo-and-uganda-2026-temporary-recommendations
cdc-current-situation-2026-05-23,US Centers for Disease Control and Prevention,official_cdc,2026-05-23T00:00:00Z,2026-05-24T18:38:45Z,COD|UGA,public-domain-us-gov,public_bytes,1fa637ba0cb4ab11c50438b226bf00ebeca62757eda73a5738f4e6f231cdaed8,https://www.cdc.gov/ebola/situation-summary/index.html
drc-moh-epidemie-dashboard-full-graphql-2026-05-23,"Ministere de la Sante Publique, Hygiene et Prevoyance sociale, Democratic Republic of the Congo",national_moh,2026-05-23T00:00:00Z,2026-05-23T17:53:08Z,COD,publisher-terms-not-confirmed,private_restricted_bytes,75638caebe83e587e3ac4297221bcc3a6a245cddecaddead9ec7248c34a3dc9c,https://administration.sante.gouv.cd/graphql
drc-moh-epidemie-dashboard-sitrep-008-graphql-2026-05-23,"Ministere de la Sante Publique, Hygiene et Prevoyance sociale, Democratic Republic of the Congo",national_moh,2026-05-23T00:00:00Z,2026-05-23T18:36:26Z,COD,publisher-terms-not-confirmed,private_restricted_bytes,e9d1e770b7f9b39033de447ce57ad850286f4b29eb5c39f9e5b3138a8a11029f,https://administration.sante.gouv.cd/graphql
cdc-current-situation-2026-05-24,US Centers for Disease Control and Prevention,official_cdc,2026-05-24T00:00:00Z,2026-05-25T03:58:37Z,COD|UGA,public-domain-us-gov,public_bytes,b33e81ab0e2af289ccde2ed4685a4a380f3397693ed2f6864e54a0f65227dc7d,https://www.cdc.gov/ebola/situation-summary/index.html
drc-moh-epidemie-dashboard-sitrep-009-graphql-2026-05-24,"Ministere de la Sante Publique, Hygiene et Prevoyance sociale, Democratic Republic of the Congo",national_moh,2026-05-24T00:00:00Z,2026-05-24T23:53:59Z,COD,publisher-terms-not-confirmed,private_restricted_bytes,f3d5149176d77cbf28d15c79bb7449b1a516c6b855ffe28d51b2adaef0f4bff5,https://administration.sante.gouv.cd/graphql
who-afro-outbreak-hub-2026-05-24-live,"World Health Organization, Regional Office for Africa",official_who_afro,2026-05-24T00:00:00Z,2026-05-25T18:36:38Z,COD|UGA,CC-BY-NC-SA-3.0-IGO,private_restricted_bytes,e7a8993d9d8526e69773fdc73f99b143e05b8d04184cdb69b02e2e34ab4cadb3,https://www.afro.who.int/health-topics/ebola-disease/outbreak-drc-26
cdc-current-situation-2026-05-25,US Centers for Disease Control and Prevention,official_cdc,2026-05-25T00:00:00Z,2026-05-25T22:17:34Z,COD|UGA,public-domain-us-gov,public_bytes,77d396c0a888d13dc3a1cbf6cdd977d5049df73624bbec36a0877a170555a1c9,https://www.cdc.gov/ebola/situation-summary/index.html
ecdc-bdbv-drc-uga-2026-05-25-live,European Centre for Disease Prevention and Control,regional_body,2026-05-25T16:30:00Z,2026-05-25T18:36:38Z,COD|UGA,CC-BY-4.0,public_bytes,0636fc9b56903b84f738b1662879a6374d98946d3bb7fd58d20b4fed012ff57c,https://www.ecdc.europa.eu/en/ebola-virus-disease-outbreak-democratic-republic-congo-and-uganda-19-may-2026
ecdc-bdbv-drc-uga-2026-05-26-live,European Centre for Disease Prevention and Control,regional_body,2026-05-26T00:00:00Z,2026-05-26T22:13:28Z,COD|UGA,CC-BY-4.0,public_bytes,d455dcaca4e5239f23951ef82dec77211ff9de963cfd6e2c12ecf7c3d8378977,https://www.ecdc.europa.eu/en/ebola-virus-disease-outbreak-democratic-republic-congo-and-uganda-19-may-2026
ecdc-bdbv-drc-uga-2026-05-27-live,European Centre for Disease Prevention and Control,regional_body,2026-05-27T00:00:00Z,2026-05-27T17:25:00Z,COD|UGA,CC-BY-4.0,public_bytes,8a63ef5cfde4aa2d6207aa3b9ffd05975dbfcbf773c6c6860df4dbd335cbe097,https://www.ecdc.europa.eu/en/ebola-virus-disease-outbreak-democratic-republic-congo-and-uganda-19-may-2026
inrb-umie-ebola-drc-2026-build-2026-05-27-059661a,"Institut National de Recherche Biomedicale (INRB), Institut National de Sante Publique (INSP), and Unite de Modelisation et Intelligence Epidemique (UMIE)",national_moh,2026-05-27T14:33:41Z,2026-05-27T15:57:33Z,COD,publisher-terms-not-confirmed,private_restricted_bytes,6d13fed81a6305c1d7ac12d53c86da40718d37470352c885b9f79a097ed7aaf9,https://github.com/INRB-UMIE/Ebola_DRC_2026/releases/download/build-2026-05-27-059661a/build-2026-05-27-059661a.tar.gz
inrb-umie-ebola-drc-2026-build-2026-05-27-e40bc9e,"Institut National de Recherche Biomedicale (INRB), Institut National de Sante Publique (INSP), and Unite de Modelisation et Intelligence Epidemique (UMIE)",national_moh,2026-05-27T22:00:53Z,2026-05-28T02:41:54Z,COD,publisher-terms-not-confirmed,private_restricted_bytes,2a9e1b1f4b9a1828846e55bc12850900112709bff6b91b65057d6d99e7f60b44,https://github.com/INRB-UMIE/Ebola_DRC_2026/releases/download/build-2026-05-27-e40bc9e/build-2026-05-27-e40bc9e.tar.gz
inrb-umie-ebola-drc-2026-build-2026-05-28-bb8b7d5,"Institut National de Recherche Biomedicale (INRB), Institut National de Sante Publique (INSP), and Unite de Modelisation et Intelligence Epidemique (UMIE)",national_moh,2026-05-28T08:57:13Z,2026-05-28T12:21:16Z,COD,"code-MIT (Kraemer Lab, University of Oxford); data-INSP SitReps: reuse with attribution to INSP + citation of report number/date, confirm distribution with INSP before external republication",private_restricted_bytes,be9680053b0c6fb7c143594cc3252928ebd27ff222536c2cdaad7b33f320261b,https://github.com/INRB-UMIE/Ebola_DRC_2026/releases/download/build-2026-05-28-bb8b7d5/build-2026-05-28-bb8b7d5.tar.gz
