source_id,publisher,published_at,retrieved_at,source_tier,country_scope,metric,source_field,value
ecdc-threat-assessment-bdbv-2026-05-21-pdf,European Centre for Disease Prevention and Control,2026-05-21T00:00:00Z,2026-05-22T04:35:00Z,regional_body,COD|UGA,confirmed_cases_drc,cases_confirmed_drc,51
who-don603-2026-05-21-live,World Health Organization,2026-05-21T00:00:00Z,2026-05-23T19:21:01Z,official_who,COD|UGA,confirmed_cases,cases_confirmed,85
who-don603-2026-05-21-live,World Health Organization,2026-05-21T00:00:00Z,2026-05-23T19:21:01Z,official_who,COD|UGA,confirmed_cases_drc,cases_confirmed_drc,83
who-don603-2026-05-21-live,World Health Organization,2026-05-21T00:00:00Z,2026-05-23T19:21:01Z,official_who,COD|UGA,deaths,deaths,176
who-don603-2026-05-21-live,World Health Organization,2026-05-21T00:00:00Z,2026-05-23T19:21:01Z,official_who,COD|UGA,suspected_cases,cases_suspected,746
who-don603-2026-05-21-live,World Health Organization,2026-05-21T00:00:00Z,2026-05-23T19:21:01Z,official_who,COD|UGA,suspected_cases_drc,cases_suspected_drc,746
ecdc-bdbv-drc-uga-2026-05-21-live,European Centre for Disease Prevention and Control,2026-05-21T18:00:00Z,2026-05-22T04:35:00Z,regional_body,COD|UGA,confirmed_cases_drc,cases_confirmed_drc,51
cdc-current-situation-2026-05-22,US Centers for Disease Control and Prevention,2026-05-22T00:00:00Z,2026-05-23T04:09:36Z,official_cdc,COD|UGA,confirmed_cases,cases_confirmed,83
cdc-current-situation-2026-05-22,US Centers for Disease Control and Prevention,2026-05-22T00:00:00Z,2026-05-23T04:09:36Z,official_cdc,COD|UGA,suspected_cases,cases_suspected,744
drc-moh-epidemie-dashboard-sitrep-mve-n-007-mvb-17-2026-pdf-2026-05-22,"Ministere de la Sante Publique, Hygiene et Prevoyance sociale, Democratic Republic of the Congo",2026-05-22T00:00:00Z,2026-05-23T18:36:26Z,national_moh,COD,confirmed_cases,cases_confirmed,83
drc-moh-epidemie-dashboard-sitrep-mve-n-007-mvb-17-2026-pdf-2026-05-22,"Ministere de la Sante Publique, Hygiene et Prevoyance sociale, Democratic Republic of the Congo",2026-05-22T00:00:00Z,2026-05-23T18:36:26Z,national_moh,COD,confirmed_cases_drc,cases_confirmed_drc,83
drc-moh-epidemie-dashboard-sitrep-mve-n-007-mvb-17-2026-pdf-2026-05-22,"Ministere de la Sante Publique, Hygiene et Prevoyance sociale, Democratic Republic of the Congo",2026-05-22T00:00:00Z,2026-05-23T18:36:26Z,national_moh,COD,deaths,affected_health_zones.bambu.deaths,0
drc-moh-epidemie-dashboard-sitrep-mve-n-007-mvb-17-2026-pdf-2026-05-22,"Ministere de la Sante Publique, Hygiene et Prevoyance sociale, Democratic Republic of the Congo",2026-05-22T00:00:00Z,2026-05-23T18:36:26Z,national_moh,COD,deaths,affected_health_zones.bunia.deaths,34
drc-moh-epidemie-dashboard-sitrep-mve-n-007-mvb-17-2026-pdf-2026-05-22,"Ministere de la Sante Publique, Hygiene et Prevoyance sociale, Democratic Republic of the Congo",2026-05-22T00:00:00Z,2026-05-23T18:36:26Z,national_moh,COD,deaths,affected_health_zones.butembo.deaths,0
drc-moh-epidemie-dashboard-sitrep-mve-n-007-mvb-17-2026-pdf-2026-05-22,"Ministere de la Sante Publique, Hygiene et Prevoyance sociale, Democratic Republic of the Congo",2026-05-22T00:00:00Z,2026-05-23T18:36:26Z,national_moh,COD,deaths,affected_health_zones.goma.deaths,0
drc-moh-epidemie-dashboard-sitrep-mve-n-007-mvb-17-2026-pdf-2026-05-22,"Ministere de la Sante Publique, Hygiene et Prevoyance sociale, Democratic Republic of the Congo",2026-05-22T00:00:00Z,2026-05-23T18:36:26Z,national_moh,COD,deaths,affected_health_zones.katwa.deaths,0
